SoortMisdrijf,RegioS,Perioden,Unnamed: 0,ID,TotaalGeregistreerdeMisdrijven_1,GeregistreerdeMisdrijvenRelatief_2,GeregistreerdeMisdrijvenPer1000Inw_3,TotaalOpgehelderdeMisdrijven_4,OpgehelderdeMisdrijvenRelatief_5,RegistratiesVanVerdachten_6
Brandstichting / ontploffing,Gelderland (PV),2011,178003,178003,805.0,1.0,0.4,200.0,24.7,330.0
Brandstichting / ontploffing,Gelderland (PV),2012,178004,178004,675.0,1.0,0.3,140.0,20.9,215.0
Brandstichting / ontploffing,Gelderland (PV),2013,178005,178005,560.0,0.0,0.3,110.0,20.0,175.0
Brandstichting / ontploffing,Gelderland (PV),2014,178006,178006,595.0,1.0,0.3,140.0,23.5,180.0
Brandstichting / ontploffing,Gelderland (PV),2015,178007,178007,515.0,1.0,0.3,105.0,20.1,135.0
Brandstichting / ontploffing,Gelderland (PV),2016,178008,178008,640.0,1.0,0.3,140.0,21.8,195.0
Brandstichting / ontploffing,Gelderland (PV),2017,178009,178009,545.0,1.0,0.3,115.0,20.7,155.0
Brandstichting / ontploffing,Gelderland (PV),2018,178010,178010,470.0,1.0,0.2,140.0,29.2,175.0
Brandstichting / ontploffing,Gelderland (PV),2019,178011,178011,525.0,1.0,0.3,150.0,28.3,205.0
Brandstichting / ontploffing,Gelderland (PV),2020,178012,178012,625.0,1.0,0.3,145.0,23.0,230.0
Brandstichting / ontploffing,Groningen (PV),2010,177947,177947,335.0,1.0,0.6,65.0,19.2,105.0
Brandstichting / ontploffing,Groningen (PV),2011,177948,177948,350.0,1.0,0.6,105.0,29.3,150.0
Brandstichting / ontploffing,Groningen (PV),2012,177949,177949,290.0,1.0,0.5,90.0,30.3,150.0
Brandstichting / ontploffing,Groningen (PV),2013,177950,177950,160.0,0.0,0.3,60.0,37.3,80.0
Brandstichting / ontploffing,Groningen (PV),2014,177951,177951,185.0,1.0,0.3,40.0,22.5,60.0
Brandstichting / ontploffing,Groningen (PV),2015,177952,177952,170.0,1.0,0.3,30.0,18.9,35.0
Brandstichting / ontploffing,Groningen (PV),2016,177953,177953,130.0,0.0,0.2,25.0,18.0,35.0
Brandstichting / ontploffing,Groningen (PV),2017,177954,177954,150.0,1.0,0.3,55.0,36.2,75.0
